CodigoEstacion;CodigoSensor;FechaObservacion;ValorObservado;NombreEstacion;Departamento;Municipio;ZonaHidrografica;Latitud;Longitud;DescripcionSensor;UnidadMedida
24035340;71;7/08/2024 10:00;185;AEROPUERTO A LLERAS C;BOYACµ;SOGAMOSO;SOGAMOSO;5676944444;-7296791667;GPRS - TEMPERATURA DEL AIRE A 2 m;øC
35165000;68;7/08/2024 10:00;152;EL TUNEL;BOYACµ;CUÖTIVA;META;5574972222;-72941;TEMPERATURA DEL AIRE A 2 m;øC
2403000117;71;7/08/2024 10:02;171;PM LA LAGUNA;BOYACµ;GUACAMAYAS;SOGAMOSO;6447166667;-72497694444;GPRS - TEMPERATURA DEL AIRE A 2 m;øC
24035340;71;7/08/2024 10:02;186;AEROPUERTO A LLERAS C;BOYACµ;SOGAMOSO;SOGAMOSO;5676944444;-7296791667;GPRS - TEMPERATURA DEL AIRE A 2 m;øC
2403000117;71;7/08/2024 10:04;171;PM LA LAGUNA;BOYACµ;GUACAMAYAS;SOGAMOSO;6447166667;-72497694444;GPRS - TEMPERATURA DEL AIRE A 2 m;øC
24035340;71;7/08/2024 10:04;187;AEROPUERTO A LLERAS C;BOYACµ;SOGAMOSO;SOGAMOSO;5676944444;-7296791667;GPRS - TEMPERATURA DEL AIRE A 2 m;øC
24035340;71;7/08/2024 10:06;187;AEROPUERTO A LLERAS C;BOYACµ;SOGAMOSO;SOGAMOSO;5676944444;-7296791667;GPRS - TEMPERATURA DEL AIRE A 2 m;øC
2403000117;71;7/08/2024 10:06;171;PM LA LAGUNA;BOYACµ;GUACAMAYAS;SOGAMOSO;6447166667;-72497694444;GPRS - TEMPERATURA DEL AIRE A 2 m;øC
24035340;71;7/08/2024 10:08;18;AEROPUERTO A LLERAS C;BOYACµ;SOGAMOSO;SOGAMOSO;5676944444;-7296791667;GPRS - TEMPERATURA DEL AIRE A 2 m;øC
2403000117;71;7/08/2024 10:08;175;PM LA LAGUNA;BOYACµ;GUACAMAYAS;SOGAMOSO;6447166667;-72497694444;GPRS - TEMPERATURA DEL AIRE A 2 m;øC
24035340;71;7/08/2024 10:10;179;AEROPUERTO A LLERAS C;BOYACµ;SOGAMOSO;SOGAMOSO;5676944444;-7296791667;GPRS - TEMPERATURA DEL AIRE A 2 m;øC
2403000117;71;7/08/2024 10:10;171;PM LA LAGUNA;BOYACµ;GUACAMAYAS;SOGAMOSO;6447166667;-72497694444;GPRS - TEMPERATURA DEL AIRE A 2 m;øC
24035340;71;7/08/2024 10:12;178;AEROPUERTO A LLERAS C;BOYACµ;SOGAMOSO;SOGAMOSO;5676944444;-7296791667;GPRS - TEMPERATURA DEL AIRE A 2 m;øC
2403000117;71;7/08/2024 10:12;168;PM LA LAGUNA;BOYACµ;GUACAMAYAS;SOGAMOSO;6447166667;-72497694444;GPRS - TEMPERATURA DEL AIRE A 2 m;øC
2403000117;71;7/08/2024 10:14;17;PM LA LAGUNA;BOYACµ;GUACAMAYAS;SOGAMOSO;6447166667;-72497694444;GPRS - TEMPERATURA DEL AIRE A 2 m;øC
24035340;71;7/08/2024 10:14;176;AEROPUERTO A LLERAS C;BOYACµ;SOGAMOSO;SOGAMOSO;5676944444;-7296791667;GPRS - TEMPERATURA DEL AIRE A 2 m;øC
24035340;71;7/08/2024 10:16;181;AEROPUERTO A LLERAS C;BOYACµ;SOGAMOSO;SOGAMOSO;5676944444;-7296791667;GPRS - TEMPERATURA DEL AIRE A 2 m;øC
2403000117;71;7/08/2024 10:16;173;PM LA LAGUNA;BOYACµ;GUACAMAYAS;SOGAMOSO;6447166667;-72497694444;GPRS - TEMPERATURA DEL AIRE A 2 m;øC
24035340;71;7/08/2024 10:18;181;AEROPUERTO A LLERAS C;BOYACµ;SOGAMOSO;SOGAMOSO;5676944444;-7296791667;GPRS - TEMPERATURA DEL AIRE A 2 m;øC
2403000117;71;7/08/2024 10:18;174;PM LA LAGUNA;BOYACµ;GUACAMAYAS;SOGAMOSO;6447166667;-72497694444;GPRS - TEMPERATURA DEL AIRE A 2 m;øC
24035340;71;7/08/2024 10:20;182;AEROPUERTO A LLERAS C;BOYACµ;SOGAMOSO;SOGAMOSO;5676944444;-7296791667;GPRS - TEMPERATURA DEL AIRE A 2 m;øC
2403000117;71;7/08/2024 10:20;176;PM LA LAGUNA;BOYACµ;GUACAMAYAS;SOGAMOSO;6447166667;-72497694444;GPRS - TEMPERATURA DEL AIRE A 2 m;øC
2403000117;71;7/08/2024 10:22;174;PM LA LAGUNA;BOYACµ;GUACAMAYAS;SOGAMOSO;6447166667;-72497694444;GPRS - TEMPERATURA DEL AIRE A 2 m;øC
24035340;71;7/08/2024 10:22;186;AEROPUERTO A LLERAS C;BOYACµ;SOGAMOSO;SOGAMOSO;5676944444;-7296791667;GPRS - TEMPERATURA DEL AIRE A 2 m;øC
2403000117;71;7/08/2024 10:24;173;PM LA LAGUNA;BOYACµ;GUACAMAYAS;SOGAMOSO;6447166667;-72497694444;GPRS - TEMPERATURA DEL AIRE A 2 m;øC
24035340;71;7/08/2024 10:24;189;AEROPUERTO A LLERAS C;BOYACµ;SOGAMOSO;SOGAMOSO;5676944444;-7296791667;GPRS - TEMPERATURA DEL AIRE A 2 m;øC
24035340;71;7/08/2024 10:26;186;AEROPUERTO A LLERAS C;BOYACµ;SOGAMOSO;SOGAMOSO;5676944444;-7296791667;GPRS - TEMPERATURA DEL AIRE A 2 m;øC
2403000117;71;7/08/2024 10:26;173;PM LA LAGUNA;BOYACµ;GUACAMAYAS;SOGAMOSO;6447166667;-72497694444;GPRS - TEMPERATURA DEL AIRE A 2 m;øC
24035340;71;7/08/2024 10:28;188;AEROPUERTO A LLERAS C;BOYACµ;SOGAMOSO;SOGAMOSO;5676944444;-7296791667;GPRS - TEMPERATURA DEL AIRE A 2 m;øC
2403000117;71;7/08/2024 10:28;172;PM LA LAGUNA;BOYACµ;GUACAMAYAS;SOGAMOSO;6447166667;-72497694444;GPRS - TEMPERATURA DEL AIRE A 2 m;øC
24035340;71;7/08/2024 10:30;187;AEROPUERTO A LLERAS C;BOYACµ;SOGAMOSO;SOGAMOSO;5676944444;-7296791667;GPRS - TEMPERATURA DEL AIRE A 2 m;øC
2403000117;71;7/08/2024 10:30;172;PM LA LAGUNA;BOYACµ;GUACAMAYAS;SOGAMOSO;6447166667;-72497694444;GPRS - TEMPERATURA DEL AIRE A 2 m;øC
2403000117;71;7/08/2024 10:32;174;PM LA LAGUNA;BOYACµ;GUACAMAYAS;SOGAMOSO;6447166667;-72497694444;GPRS - TEMPERATURA DEL AIRE A 2 m;øC
24035340;71;7/08/2024 10:32;185;AEROPUERTO A LLERAS C;BOYACµ;SOGAMOSO;SOGAMOSO;5676944444;-7296791667;GPRS - TEMPERATURA DEL AIRE A 2 m;øC
