CodigoEstacion;CodigoSensor;FechaObservacion;ValorObservado;NombreEstacion;Departamento;Municipio;ZonaHidrografica;Latitud;Longitud;DescripcionSensor;UnidadMedida
24015508;68;01/21/2020 03:40:00 AM;125;HACIENDA LA MESA  - AUT;CUNDINAMARCA;PASCA;ALTO MAGDALENA;4308;-74282;Temp Aire 2 m;°C
21205511;68;01/21/2020 05:30:00 PM;12778;EL OKAL  - AUT;CUNDINAMARCA;VILLAGÓMEZ;ALTO MAGDALENA;5001;-73733;Temp Aire 2 m;°C
24015507;68;01/21/2020 08:10:00 AM;11575;OJO DE AGUA  - AUT;CUNDINAMARCA;SIMIJACA;SOGAMOSO;5392;-73854;Temp Aire 2 m;°C
21205526;68;01/21/2020 07:10:00 AM;16573;PEDRO PALO  - AUT;CUNDINAMARCA;TENA;ALTO MAGDALENA;4691;-74389;Temp Aire 2 m;°C
21205524;68;07/01/2019 01:50:00 PM;11484;VETA LARGA  - AUT;CUNDINAMARCA;ZIPAQUIRÁ;ALTO MAGDALENA;5075;-74057;Temp Aire 2 m;°C
21205516;68;01/21/2020 06:40:00 AM;14764;NEGRETE  - AUT;CUNDINAMARCA;PACHO;ALTO MAGDALENA;5173;-73852;Temp Aire 2 m;°C
21205519;68;01/21/2020 07:40:00 AM;11844;SAN FORTUNATO  - AUT;CUNDINAMARCA;SIBATÉ;ALTO MAGDALENA;4452;-74272;Temp Aire 2 m;°C
23065110;68;01/21/2020 07:00:00 PM;191;YACOPI  - AUT;CUNDINAMARCA;YACOPÍ;MEDIO MAGDALENA;5484166667;-7435458333;Temp Aire 2 m;°C
21205526;68;01/21/2020 12:20:00 AM;16683;PEDRO PALO  - AUT;CUNDINAMARCA;TENA;ALTO MAGDALENA;4691;-74389;Temp Aire 2 m;°C
23065160;68;07/01/2019 07:50:00 PM;19268;ACOMODO EL;CUNDINAMARCA;LA VEGA;MEDIO MAGDALENA;5017;-74333;Temp Aire 2 m;°C
23065160;68;07/01/2019 03:00:00 AM;1826;ACOMODO EL;CUNDINAMARCA;LA VEGA;MEDIO MAGDALENA;5017;-74333;Temp Aire 2 m;°C
21205526;68;01/21/2020 11:10:00 AM;17454;PEDRO PALO  - AUT;CUNDINAMARCA;TENA;ALTO MAGDALENA;4691;-74389;Temp Aire 2 m;°C
21205516;68;07/01/2019 01:30:00 PM;15651;NEGRETE  - AUT;CUNDINAMARCA;PACHO;ALTO MAGDALENA;5173;-73852;Temp Aire 2 m;°C
24015380;68;01/21/2020 02:00:00 PM;14;CARMEN DE CARUPA  - AUT;CUNDINAMARCA;CARMEN DE CARUPA;SOGAMOSO;5347222222;-7389833333;Temp Aire 2 m;°C
21205524;68;01/21/2020 09:30:00 PM;10773;VETA LARGA  - AUT;CUNDINAMARCA;ZIPAQUIRÁ;ALTO MAGDALENA;5075;-74057;Temp Aire 2 m;°C
21205526;68;01/21/2020 04:50:00 AM;15954;PEDRO PALO  - AUT;CUNDINAMARCA;TENA;ALTO MAGDALENA;4691;-74389;Temp Aire 2 m;°C
21205524;68;07/01/2019 04:30:00 AM;8809;VETA LARGA  - AUT;CUNDINAMARCA;ZIPAQUIRÁ;ALTO MAGDALENA;5075;-74057;Temp Aire 2 m;°C
21205522;68;01/21/2020 12:20:00 AM;11073;TABIO  - AUT;CUNDINAMARCA;TABIO;ALTO MAGDALENA;4918;-74029;Temp Aire 2 m;°C
24015340;68;07/01/2019 02:00:00 PM;143;EL HATO - CAR;CUNDINAMARCA;CARMEN DE CARUPA;SOGAMOSO;5283;-739;Temp Aire 2 m;°C
21205515;68;01/21/2020 07:50:00 PM;9648;MERENGO  - AUT;CUNDINAMARCA;SOACHA;ALTO MAGDALENA;47;-74174;Temp Aire 2 m;°C
21205502;68;01/21/2020 04:25:00 PM;1923169;MISIONES  - AUT;CUNDINAMARCA;EL COLEGIO;ALTO MAGDALENA;4544997222;-7444055556;Temp Aire 2 m;°C
21205525;68;07/01/2019 02:10:00 AM;9565;VILLA PINZON  - AUT;CUNDINAMARCA;VILLAPINZÓN;ALTO MAGDALENA;5229;-73585;Temp Aire 2 m;°C
21205526;68;01/21/2020 05:10:00 PM;17527;PEDRO PALO  - AUT;CUNDINAMARCA;TENA;ALTO MAGDALENA;4691;-74389;Temp Aire 2 m;°C
21205480;68;01/21/2020 03:50:00 PM;15821;IBERIA LA;CUNDINAMARCA;CHOCONTÁ;ALTO MAGDALENA;5033;-73717;Temp Aire 2 m;°C
23065506;68;01/21/2020 02:30:00 AM;11143;BELLAVISTA  - AUT;CUNDINAMARCA;FACATATIVÁ;ALTO MAGDALENA;4861;-74405;Temp Aire 2 m;°C
21205519;68;07/01/2019 03:20:00 AM;9751;SAN FORTUNATO  - AUT;CUNDINAMARCA;SIBATÉ;ALTO MAGDALENA;4452;-74272;Temp Aire 2 m;°C
21195502;68;07/01/2019 07:00:00 PM;157;AGUAS CLARAS - CAR;CUNDINAMARCA;SAN BERNARDO;ALTO MAGDALENA;4145;-74428;Temp Aire 2 m;°C
2120500050;68;01/21/2020 04:00:00 AM;52;PARAMO ALTO - AUT;CUNDINAMARCA;COGUA;ALTO MAGDALENA;5158861111;-74043444444;Temp Aire 2 m;°C
23065506;68;01/21/2020 11:00:00 PM;10437;BELLAVISTA  - AUT;CUNDINAMARCA;FACATATIVÁ;ALTO MAGDALENA;4861;-74405;Temp Aire 2 m;°C
21205513;68;01/21/2020 05:20:00 PM;1694;LA RAMADA  - AUT;CUNDINAMARCA;FUNZA;ALTO MAGDALENA;4505;-74184;Temp Aire 2 m;°C
21205515;68;07/01/2019 05:50:00 AM;917;MERENGO  - AUT;CUNDINAMARCA;SOACHA;ALTO MAGDALENA;47;-74174;Temp Aire 2 m;°C
21205514;68;01/21/2020 12:30:00 PM;16075;LAS MARGARITAS  - AUT;CUNDINAMARCA;EL ROSAL;ALTO MAGDALENA;4469;-74079;Temp Aire 2 m;°C
21205526;68;07/01/2019 08:10:00 AM;16946;PEDRO PALO  - AUT;CUNDINAMARCA;TENA;ALTO MAGDALENA;4691;-74389;Temp Aire 2 m;°C
35075090;68;07/01/2019 09:10:00 PM;10323;MACHETA - CHIVOR;CUNDINAMARCA;MACHETÁ;META;5083;-7365;Temp Aire 2 m;°C
21205511;68;01/21/2020 08:30:00 PM;11789;EL OKAL  - AUT;CUNDINAMARCA;VILLAGÓMEZ;ALTO MAGDALENA;5001;-73733;Temp Aire 2 m;°C
35075090;68;01/21/2020 04:00:00 PM;14198;MACHETA - CHIVOR;CUNDINAMARCA;MACHETÁ;META;5083;-7365;Temp Aire 2 m;°C
21205518;68;07/01/2019 07:10:00 AM;7645;SALITRE  - AUT;CUNDINAMARCA;TAUSA;ALTO MAGDALENA;5171;-74016;Temp Aire 2 m;°C
24015508;68;01/21/2020 10:40:00 AM;18223;HACIENDA LA MESA  - AUT;CUNDINAMARCA;PASCA;ALTO MAGDALENA;4308;-74282;Temp Aire 2 m;°C
35025080;68;01/21/2020 07:00:00 PM;84;PNN CHINGAZA - AUT;CUNDINAMARCA;LA CALERA;META;4661;-7382733333;Temp Aire 2 m;°C
21205524;68;01/21/2020 11:20:00 PM;10505;VETA LARGA  - AUT;CUNDINAMARCA;ZIPAQUIRÁ;ALTO MAGDALENA;5075;-74057;Temp Aire 2 m;°C
21205514;68;01/21/2020 07:00:00 PM;12318;LAS MARGARITAS  - AUT;CUNDINAMARCA;EL ROSAL;ALTO MAGDALENA;4469;-74079;Temp Aire 2 m;°C
21205480;68;01/21/2020 12:20:00 AM;10238;IBERIA LA;CUNDINAMARCA;CHOCONTÁ;ALTO MAGDALENA;5033;-73717;Temp Aire 2 m;°C
21205514;68;01/21/2020 07:40:00 PM;11547;LAS MARGARITAS  - AUT;CUNDINAMARCA;EL ROSAL;ALTO MAGDALENA;4469;-74079;Temp Aire 2 m;°C
24015340;68;07/01/2019 06:00:00 PM;114;EL HATO - CAR;CUNDINAMARCA;CARMEN DE CARUPA;SOGAMOSO;5283;-739;Temp Aire 2 m;°C
21205525;68;01/21/2020 01:10:00 PM;17859;VILLA PINZON  - AUT;CUNDINAMARCA;VILLAPINZÓN;ALTO MAGDALENA;5229;-73585;Temp Aire 2 m;°C
21205513;68;01/21/2020 09:00:00 AM;17717;LA RAMADA  - AUT;CUNDINAMARCA;FUNZA;ALTO MAGDALENA;4505;-74184;Temp Aire 2 m;°C
24015508;68;01/21/2020 11:10:00 PM;13206;HACIENDA LA MESA  - AUT;CUNDINAMARCA;PASCA;ALTO MAGDALENA;4308;-74282;Temp Aire 2 m;°C
21206990;68;01/21/2020 11:00:00 AM;211;TIBAITATA - AUT;CUNDINAMARCA;MOSQUERA;ALTO MAGDALENA;4691416667;-74209;Temp Aire 2 m;°C
21205524;68;01/21/2020 02:00:00 AM;9211;VETA LARGA  - AUT;CUNDINAMARCA;ZIPAQUIRÁ;ALTO MAGDALENA;5075;-74057;Temp Aire 2 m;°C
21205522;68;01/21/2020 10:20:00 PM;10878;TABIO  - AUT;CUNDINAMARCA;TABIO;ALTO MAGDALENA;4918;-74029;Temp Aire 2 m;°C
24015508;68;01/21/2020 07:40:00 AM;1383;HACIENDA LA MESA  - AUT;CUNDINAMARCA;PASCA;ALTO MAGDALENA;4308;-74282;Temp Aire 2 m;°C
21237060;68;07/01/2019 03:00:00 PM;21778;CORRALITOS PULI;CUNDINAMARCA;PULÍ;ALTO MAGDALENA;4633;-7465;Temp Aire 2 m;°C
24015508;68;01/21/2020 05:30:00 PM;14156;HACIENDA LA MESA  - AUT;CUNDINAMARCA;PASCA;ALTO MAGDALENA;4308;-74282;Temp Aire 2 m;°C
21205480;68;01/21/2020 01:10:00 PM;19827;IBERIA LA;CUNDINAMARCA;CHOCONTÁ;ALTO MAGDALENA;5033;-73717;Temp Aire 2 m;°C
21205511;68;01/21/2020 12:20:00 PM;17049;EL OKAL  - AUT;CUNDINAMARCA;VILLAGÓMEZ;ALTO MAGDALENA;5001;-73733;Temp Aire 2 m;°C
24015508;68;07/01/2019 05:20:00 AM;12193;HACIENDA LA MESA  - AUT;CUNDINAMARCA;PASCA;ALTO MAGDALENA;4308;-74282;Temp Aire 2 m;°C
21205506;68;07/01/2019 04:00:00 AM;88;GUAMAL - CAR;CUNDINAMARCA;SUBACHOQUE;ALTO MAGDALENA;5025;-74153;Temp Aire 2 m;°C
21205519;68;07/01/2019 11:00:00 PM;1035;SAN FORTUNATO  - AUT;CUNDINAMARCA;SIBATÉ;ALTO MAGDALENA;4452;-74272;Temp Aire 2 m;°C
21205518;68;07/01/2019 08:30:00 PM;7829;SALITRE  - AUT;CUNDINAMARCA;TAUSA;ALTO MAGDALENA;5171;-74016;Temp Aire 2 m;°C
21206790;68;01/21/2020 10:00:00 PM;122;HACIENDA SANTA ANA - AUT;CUNDINAMARCA;NEMOCÓN;ALTO MAGDALENA;50905;-7388125;Temp Aire 2 m;°C
24015507;68;01/21/2020 01:10:00 AM;8186;OJO DE AGUA  - AUT;CUNDINAMARCA;SIMIJACA;SOGAMOSO;5392;-73854;Temp Aire 2 m;°C
21205526;68;07/01/2019 12:00:00 PM;17688;PEDRO PALO  - AUT;CUNDINAMARCA;TENA;ALTO MAGDALENA;4691;-74389;Temp Aire 2 m;°C
35075090;68;07/01/2019 11:50:00 AM;13348;MACHETA - CHIVOR;CUNDINAMARCA;MACHETÁ;META;5083;-7365;Temp Aire 2 m;°C
21205515;68;01/21/2020 07:20:00 PM;10091;MERENGO  - AUT;CUNDINAMARCA;SOACHA;ALTO MAGDALENA;47;-74174;Temp Aire 2 m;°C
21205526;68;07/01/2019 12:20:00 PM;17596;PEDRO PALO  - AUT;CUNDINAMARCA;TENA;ALTO MAGDALENA;4691;-74389;Temp Aire 2 m;°C
35025090;68;01/21/2020 11:00:00 PM;102;BOSQUE INTERVENIDO  - AUT;CUNDINAMARCA;LA CALERA;META;4664888889;-7384663889;Temp Aire 2 m;°C
24015507;68;01/21/2020 01:30:00 AM;8473;OJO DE AGUA  - AUT;CUNDINAMARCA;SIMIJACA;SOGAMOSO;5392;-73854;Temp Aire 2 m;°C
21205526;68;01/21/2020 02:40:00 PM;16104;PEDRO PALO  - AUT;CUNDINAMARCA;TENA;ALTO MAGDALENA;4691;-74389;Temp Aire 2 m;°C
21205513;68;07/01/2019 04:30:00 PM;15345;LA RAMADA  - AUT;CUNDINAMARCA;FUNZA;ALTO MAGDALENA;4505;-74184;Temp Aire 2 m;°C
21205524;68;01/21/2020 01:20:00 AM;10075;VETA LARGA  - AUT;CUNDINAMARCA;ZIPAQUIRÁ;ALTO MAGDALENA;5075;-74057;Temp Aire 2 m;°C
21205480;68;07/01/2019 04:10:00 PM;13167;IBERIA LA;CUNDINAMARCA;CHOCONTÁ;ALTO MAGDALENA;5033;-73717;Temp Aire 2 m;°C
21235030;68;01/21/2020 01:00:00 PM;279;UNIVERSIDAD DE CUNDINAMARCA - AUT;CUNDINAMARCA;GIRARDOT;ALTO MAGDALENA;4305333333;-7480811111;Temp Aire 2 m;°C
21205480;68;07/01/2019 12:30:00 PM;14212;IBERIA LA;CUNDINAMARCA;CHOCONTÁ;ALTO MAGDALENA;5033;-73717;Temp Aire 2 m;°C
21195190;68;01/21/2020 05:00:00 PM;163;PASCA - AUT;CUNDINAMARCA;PASCA;ALTO MAGDALENA;4310111111;-7431175;Temp Aire 2 m;°C
35075090;68;01/21/2020 12:00:00 PM;17624;MACHETA - CHIVOR;CUNDINAMARCA;MACHETÁ;META;5083;-7365;Temp Aire 2 m;°C
21205526;68;01/21/2020 02:40:00 AM;16411;PEDRO PALO  - AUT;CUNDINAMARCA;TENA;ALTO MAGDALENA;4691;-74389;Temp Aire 2 m;°C
35075090;68;07/01/2019 11:10:00 AM;12238;MACHETA - CHIVOR;CUNDINAMARCA;MACHETÁ;META;5083;-7365;Temp Aire 2 m;°C
21205502;68;01/21/2020 08:35:00 PM;1897413;MISIONES  - AUT;CUNDINAMARCA;EL COLEGIO;ALTO MAGDALENA;4544997222;-7444055556;Temp Aire 2 m;°C
21205515;68;01/21/2020 05:00:00 PM;11957;MERENGO  - AUT;CUNDINAMARCA;SOACHA;ALTO MAGDALENA;47;-74174;Temp Aire 2 m;°C
21205519;68;07/01/2019 08:40:00 AM;11868;SAN FORTUNATO  - AUT;CUNDINAMARCA;SIBATÉ;ALTO MAGDALENA;4452;-74272;Temp Aire 2 m;°C
23065180;68;01/21/2020 10:00:00 AM;263;VILLETA - AUT;CUNDINAMARCA;VILLETA;MEDIO MAGDALENA;5016861111;-7447097222;Temp Aire 2 m;°C
